danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,name
0.879,0.487,0,-9.441,1,0.148,0.337,0.000284,0.0706,0.338,116.991,audio_features,3QKvJjMEFSUMtPrJN6bTSF,spotify:track:3QKvJjMEFSUMtPrJN6bTSF,https://api.spotify.com/v1/tracks/3QKvJjMEFSUMtPrJN6bTSF,https://api.spotify.com/v1/audio-analysis/3QKvJjMEFSUMtPrJN6bTSF,329600,4,Barso Re
0.661,0.748,3,-12.653,0,0.244,0.162,0.00187,0.0789,0.753,188.073,audio_features,7kxFLinBsXa4MVtCgIBoqw,spotify:track:7kxFLinBsXa4MVtCgIBoqw,https://api.spotify.com/v1/tracks/7kxFLinBsXa4MVtCgIBoqw,https://api.spotify.com/v1/audio-analysis/7kxFLinBsXa4MVtCgIBoqw,303099,4,Satrangi Re - Dil Se
0.579,0.515,1,-12.323,0,0.0525,0.21,0,0.303,0.502,87.947,audio_features,6KlVDkd5p3HjESeCTZOPzX,spotify:track:6KlVDkd5p3HjESeCTZOPzX,https://api.spotify.com/v1/tracks/6KlVDkd5p3HjESeCTZOPzX,https://api.spotify.com/v1/audio-analysis/6KlVDkd5p3HjESeCTZOPzX,357080,4,Saathiya
0.84,0.473,9,-15.038,1,0.0733,0.00955,1.77E-05,0.0897,0.427,105.986,audio_features,7LMh0v7MY3r5sao0vJ7jEO,spotify:track:7LMh0v7MY3r5sao0vJ7jEO,https://api.spotify.com/v1/tracks/7LMh0v7MY3r5sao0vJ7jEO,https://api.spotify.com/v1/audio-analysis/7LMh0v7MY3r5sao0vJ7jEO,405293,4,Dil Se Re (from the film 'Dil Se')
0.701,0.48,9,-16.403,0,0.073,0.309,0.000421,0.0986,0.65,122.013,audio_features,0ICYqPzyR7VC4JgsPxCTZd,spotify:track:0ICYqPzyR7VC4JgsPxCTZd,https://api.spotify.com/v1/tracks/0ICYqPzyR7VC4JgsPxCTZd,https://api.spotify.com/v1/audio-analysis/0ICYqPzyR7VC4JgsPxCTZd,428600,4,Mujhe Rang De
0.287,0.654,2,-5.57,1,0.0374,0.593,7.30E-06,0.11,0.241,84.015,audio_features,7EjatvVN2Y2GjpvKSyWJR4,spotify:track:7EjatvVN2Y2GjpvKSyWJR4,https://api.spotify.com/v1/tracks/7EjatvVN2Y2GjpvKSyWJR4,https://api.spotify.com/v1/audio-analysis/7EjatvVN2Y2GjpvKSyWJR4,338587,4,Alvida
0.542,0.564,0,-6.634,0,0.0276,0.22,1.71E-06,0.114,0.178,135.984,audio_features,6FfCyhMsZaBcHxYu0Nm3eP,spotify:track:6FfCyhMsZaBcHxYu0Nm3eP,https://api.spotify.com/v1/tracks/6FfCyhMsZaBcHxYu0Nm3eP,https://api.spotify.com/v1/audio-analysis/6FfCyhMsZaBcHxYu0Nm3eP,440347,4,Rishtey
0.41,0.633,0,-6.989,1,0.0378,0.513,0,0.116,0.344,101.461,audio_features,6YycppSAeGtSvwmu8qCcr2,spotify:track:6YycppSAeGtSvwmu8qCcr2,https://api.spotify.com/v1/tracks/6YycppSAeGtSvwmu8qCcr2,https://api.spotify.com/v1/audio-analysis/6YycppSAeGtSvwmu8qCcr2,397027,4,In Dino
0.712,0.804,10,-5.792,0,0.0373,0.0687,0.000203,0.179,0.841,140.091,audio_features,2FzUJvJdyf12oshXm0KR8k,spotify:track:2FzUJvJdyf12oshXm0KR8k,https://api.spotify.com/v1/tracks/2FzUJvJdyf12oshXm0KR8k,https://api.spotify.com/v1/audio-analysis/2FzUJvJdyf12oshXm0KR8k,194080,4,Hello Darling
0.705,0.694,5,-6.55,0,0.0719,0.252,0,0.332,0.802,95.995,audio_features,5JjI5hR0isXUV6LjIv6k1o,spotify:track:5JjI5hR0isXUV6LjIv6k1o,https://api.spotify.com/v1/tracks/5JjI5hR0isXUV6LjIv6k1o,https://api.spotify.com/v1/audio-analysis/5JjI5hR0isXUV6LjIv6k1o,229800,4,Kya
0.511,0.767,2,-5.699,1,0.0524,0.651,0,0.153,0.463,79.923,audio_features,4rSmmC6OYmjVOYxr8ruVWN,spotify:track:4rSmmC6OYmjVOYxr8ruVWN,https://api.spotify.com/v1/tracks/4rSmmC6OYmjVOYxr8ruVWN,https://api.spotify.com/v1/audio-analysis/4rSmmC6OYmjVOYxr8ruVWN,289560,4,Mere Bina
0.789,0.884,1,-2.456,0,0.0831,0.108,2.16E-05,0.324,0.842,111.954,audio_features,56nMk0ymfgLP5tFmtpPUtw,spotify:track:56nMk0ymfgLP5tFmtpPUtw,https://api.spotify.com/v1/tracks/56nMk0ymfgLP5tFmtpPUtw,https://api.spotify.com/v1/audio-analysis/56nMk0ymfgLP5tFmtpPUtw,227213,4,Character Dheela (Ishq Ke Naam)
0.519,0.798,4,-6.268,0,0.0626,0.00604,0,0.099,0.587,171.99,audio_features,18UpkbNjXwY11z9oWSSXXE,spotify:track:18UpkbNjXwY11z9oWSSXXE,https://api.spotify.com/v1/tracks/18UpkbNjXwY11z9oWSSXXE,https://api.spotify.com/v1/audio-analysis/18UpkbNjXwY11z9oWSSXXE,285753,4,You Get me Rocking & Reeling (feat. Neeraj Shridhar and Billu Barbar)
0.43,0.815,7,-6.348,1,0.0954,0.0586,0,0.26,0.781,172.224,audio_features,1XdXUo1pS3Pz4MIpVlL5DN,spotify:track:1XdXUo1pS3Pz4MIpVlL5DN,https://api.spotify.com/v1/tracks/1XdXUo1pS3Pz4MIpVlL5DN,https://api.spotify.com/v1/audio-analysis/1XdXUo1pS3Pz4MIpVlL5DN,281469,4,Khodaya Khair (feat. Monali and Akriti Kakkar)
0.551,0.954,11,-4.768,0,0.168,0.00171,0.29,0.217,0.544,109.462,audio_features,2hcv2qOsT5f33rqDmbWwBK,spotify:track:2hcv2qOsT5f33rqDmbWwBK,https://api.spotify.com/v1/tracks/2hcv2qOsT5f33rqDmbWwBK,https://api.spotify.com/v1/audio-analysis/2hcv2qOsT5f33rqDmbWwBK,408477,4,Marjaani Marjaani Kasame (feat. Sunidhi Chauhan and Sukhwinder Singh)
0.492,0.769,1,-6.13,1,0.0429,0.0385,0,0.156,0.789,83.857,audio_features,1rqOgp6aSdsBA5wHdE7hDt,spotify:track:1rqOgp6aSdsBA5wHdE7hDt,https://api.spotify.com/v1/tracks/1rqOgp6aSdsBA5wHdE7hDt,https://api.spotify.com/v1/audio-analysis/1rqOgp6aSdsBA5wHdE7hDt,286302,4,Pee Loon Hoto Ki Sargam (feat. Mohit Chauhan Once Upon A Time In Mumbaai)
0.598,0.966,4,-4.585,0,0.338,0.00826,0.000283,0.589,0.632,109.049,audio_features,03Wn1TXibHyFqjr6JjcpOo,spotify:track:03Wn1TXibHyFqjr6JjcpOo,https://api.spotify.com/v1/tracks/03Wn1TXibHyFqjr6JjcpOo,https://api.spotify.com/v1/audio-analysis/03Wn1TXibHyFqjr6JjcpOo,326896,4,Twist
0.598,0.769,11,-5.122,1,0.0474,0.619,0,0.113,0.579,127.897,audio_features,7FPgq3f19jPaZXyE2CtRjE,spotify:track:7FPgq3f19jPaZXyE2CtRjE,https://api.spotify.com/v1/tracks/7FPgq3f19jPaZXyE2CtRjE,https://api.spotify.com/v1/audio-analysis/7FPgq3f19jPaZXyE2CtRjE,286000,4,Te Amo
0.383,0.608,4,-5.789,1,0.0404,0.0544,1.71E-06,0.0938,0.33,142.921,audio_features,1K1yiRYJDbtEs1prl1iwXC,spotify:track:1K1yiRYJDbtEs1prl1iwXC,https://api.spotify.com/v1/tracks/1K1yiRYJDbtEs1prl1iwXC,https://api.spotify.com/v1/audio-analysis/1K1yiRYJDbtEs1prl1iwXC,266587,4,Jiyein Kaun
0.742,0.926,0,-3.66,1,0.0886,0.127,0.000509,0.0392,0.688,129.983,audio_features,6nApBP9MNhruRxK3FwmWRV,spotify:track:6nApBP9MNhruRxK3FwmWRV,https://api.spotify.com/v1/tracks/6nApBP9MNhruRxK3FwmWRV,https://api.spotify.com/v1/audio-analysis/6nApBP9MNhruRxK3FwmWRV,234027,4,Mit Jaaye Ghum (Dum Maro Dum)
0.536,0.903,1,-5.501,0,0.307,0.155,4.99E-05,0.0641,0.657,129.967,audio_features,6eEAevjmfFiu5SSvH0DRY8,spotify:track:6eEAevjmfFiu5SSvH0DRY8,https://api.spotify.com/v1/tracks/6eEAevjmfFiu5SSvH0DRY8,https://api.spotify.com/v1/audio-analysis/6eEAevjmfFiu5SSvH0DRY8,290493,4,Aahun Aahun
